year, normalized rate
1970,0
1971,-0.2495061728395062
1972,-0.10246808510638299
1973,-0.01714285714285714
1974,0.06481481481481481
1975,0.27573333333333333
1976,-0.061686367218282114
1977,0.04699029126213593
1978,-0.06666666666666667
1979,-0.011878787878787878
1980,0.007074829931972788
1981,0.004615384615384616
1982,0.014814814814814814
1983,-0.02962962962962963
1984,0.05383333333333334
1985,-0.030019493177387915
1986,-0.007873015873015872
1987,-0.007741935483870967
1988,-0.011522633744855968
1989,0.058333333333333334
1990,-0.013714285714285714
1991,-0.005925925925925926
1992,0.020092592592592592
1994,0.09462365591397849
1995,0.009535353535353536
1996,-0.03163841807909605
1997,0.009904761904761904
1998,-0.018461538461538463
1999,0.1134156378600823
2000,-0.02817610062893082
2001,0.022222222222222223
2002,-0.012833333333333332
2003,0.0
2004,-0.014545454545454545
2005,0.06222222222222222
2006,-0.009523809523809525
2007,0.005925925925925926
2008,0.05
2009,-0.009506172839506173
2010,0.020606060606060603
2011,-0.009150326797385621
2012,0.044444444444444446
2013,0.0
2014,0.029
2015,0.02620689655172414
2016,0.09730994152046783
